ID|Checkout Date|Member ID|Returned
1|2014-10-27|xlsf|True
32|2014-10-29|xzbv|True
23|2014-10-30|xlko|True
16|2014-10-31|xzcn|True
33|2014-11-09|xzsd|True
19|2014-11-17|xzag|True
26|2014-11-20|xzyc|True
8|2014-11-25|xlbv|True
17|2014-12-04|xzqm|True
21|2014-12-12|xzyc|True
30|2014-12-22|xlma|True
1|2015-01-01|xzap|True
22|2015-01-06|xzsd|True
14|2015-01-13|xzcn|True
8|2015-01-16|xlrq|True
5|2015-01-18|xzww|True
3|2015-01-25|xzbb|True
30|2015-02-02|xzbb|True
1|2015-02-13|xzbb|True
25|2015-02-14|xzbb|True
21|2015-02-28|xlsf|True
3|2015-03-07|xzyc|True
30|2015-03-13|xzwo|True
28|2015-03-23|xzbv|True
25|2015-04-03|xlaa|True
15|2015-04-12|xzqm|True
29|2015-04-20|xzbb|True
24|2015-05-04|xzpx|True
11|2015-05-08|xzbb|True
19|2015-05-11|xzap|True
4|2015-05-23|xzqm|True
2|2015-06-01|xzwo|True
8|2015-06-13|xzag|True
11|2015-06-23|xzqm|True
21|2015-06-28|xzbv|True
9|2015-07-01|xzpx|True
7|2015-07-06|xzyc|True
31|2015-07-17|xzbv|True
2|2015-07-27|xzbb|True
30|2015-08-04|xlbv|True
10|2015-08-18|xzag|True
25|2015-08-29|xzbb|True
14|2015-09-09|xzcn|True
1|2015-09-20|xzqm|True
11|2015-09-30|xlma|True
29|2015-10-10|xzcn|True
13|2015-11-05|xlma|True
4|2015-11-14|xlqp|True
28|2015-11-24|xzag|True
11|2015-11-26|xlqp|True
6|2015-12-10|xlma|True
23|2015-12-23|xzsd|True
25|2016-01-02|xzww|True
2|2016-01-14|xlko|True
27|2016-01-26|xlaa|True
26|2016-02-03|xzpx|True
21|2016-02-05|xzsd|True
19|2016-02-14|xzbv|True
28|2016-02-22|xzww|True
6|2016-03-06|xzbv|True
32|2016-03-18|xzcn|True
25|2016-03-31|xzpx|True
24|2016-04-04|xlqp|True
5|2016-04-18|xzqm|True
26|2016-04-22|xzwo|True
30|2016-05-06|xlaa|True
32|2016-05-14|xlma|True
14|2016-05-18|xzag|True
19|2016-05-29|xlma|True
8|2016-06-09|xzqm|True
6|2016-06-11|xlqp|True
19|2016-06-21|xlma|True
7|2016-06-27|xzbb|True
22|2016-07-06|xzyc|True
31|2016-07-08|xlbv|True
21|2016-07-15|xzap|True
6|2016-07-22|xzsd|True
10|2016-07-25|xzwo|True
30|2016-07-27|xzwo|True
23|2016-07-30|xlma|True
13|2016-08-11|xlqp|True
34|2016-08-16|xzap|True
7|2016-08-23|xlma|True
6|2016-08-25|xzww|True
32|2016-09-04|xzbb|True
8|2016-09-05|xzbv|True
17|2016-09-12|xzyc|True
14|2016-09-25|xzyc|True
19|2016-09-28|xlsf|True
23|2016-10-11|xzwo|True
21|2016-10-21|xzpx|True
10|2016-11-02|xzww|True
16|2016-11-11|xlko|True
22|2016-11-21|xlma|True
21|2016-11-29|xlrq|True
30|2016-12-10|xlaa|True
32|2016-12-20|xzpx|True
24|2017-01-02|xzcn|True
9|2017-01-08|xlrq|True
21|2017-01-17|xlaa|True
3|2017-01-21|xzww|True
29|2017-01-28|xlko|True
